B_string_raw,B_string,string_similarity,Best_A_strings_raw,Best_A_strings,Best_A_Brand,Best_A_Type,Best_A_Formula,,
Petro-CAS,petrocas,100.00%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
mestac,mestac,100.00%,Mestac,mestac,LaoYing,Nitrogen,NA,6,
Fertiphos,fertiphos,100.00%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,9,
petro cas,petrocas,100.00%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
urea petro,ureapetro,100.00%,Urea Petro,ureapetro,PIHC,Urea,NA,9,
ZA Petro,zapetro,100.00%,ZA Petro,zapetro,PIHC,ZA,NA,7,
SP-36 Petro,sp36petro,100.00%,SP-36 Petro,sp36petro,PIHC,Fosfat,NA,9,
Mestikali,mestikali,100.00%,Mestikali,mestikali,LaoYing,Kalium,NA,9,
Z. K. PETRO,zkpetro,100.00%,ZK Petro,zkpetro,PIHC,ZK,NA,7,
sp36 petro,sp36petro,100.00%,SP-36 Petro,sp36petro,PIHC,Fosfat,NA,9,
pelangi1212172,pelangi1212172,100.00%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,14,
Meroke MOP,merokemop,100.00%,MerokeMOP,merokemop,Mutiara,Kalium,NA,9,
Mutiara 16 16 16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
npk kujang 30 6 8,npkkujang3068,100.00%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
nitralite,nitralite,100.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
Urea Pusri,ureapusri,100.00%,Urea Pusri,ureapusri,PIHC,Urea,NA,9,
ZK PETRO,zkpetro,100.00%,ZK Petro,zkpetro,PIHC,ZK,NA,7,
SP-26 PETRO,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
npk kujang 30-6-8,npkkujang3068,100.00%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
ZA PAK TANI,zapaktani,100.00%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,9,
Urea Petro,ureapetro,100.00%,Urea Petro,ureapetro,PIHC,Urea,NA,9,
ZA PETRO,zapetro,100.00%,ZA Petro,zapetro,PIHC,ZA,NA,7,
PetroCas,petrocas,100.00%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Petrobiofertil,petrobiofertil,100.00%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,14,
Urea nitrea,ureanitrea,100.00%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,10,
NPK pelangi 13 6 27 4,npkpelangi136274,100.00%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,16,
UreaPetro,ureapetro,100.00%,Urea Petro,ureapetro,PIHC,Urea,NA,9,
Nitralite,nitralite,100.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
Urea Daun Buah,ureadaunbuah,100.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,12,
Z K  Petro,zkpetro,100.00%,ZK Petro,zkpetro,PIHC,ZK,NA,7,
urea pim,ureapim,100.00%,Urea PIM,ureapim,PIHC,Urea,NA,7,
Urea Daun Buah,ureadaunbuah,100.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,12,
PHOSGRO,phosgro,100.00%,Phosgro,phosgro,Pak Tani,Fosfat,NA,7,
NPK PELANGI 13-6-27-4,npkpelangi136274,100.00%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,16,
Petro Nitrat 16 16 16,petronitrat161616,100.00%,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16,17,
mutiara 161616,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
ureadaun buah,ureadaunbuah,100.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,12,
urea pim,ureapim,100.00%,Urea PIM,ureapim,PIHC,Urea,NA,7,
MUTIARA 16-16-16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
nitroku 16-16-16,nitroku161616,100.00%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,13,
Nitroku 161616,nitroku161616,100.00%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,13,
SP 26 Petro,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
Petro Nitrat 16-16-16,petronitrat161616,100.00%,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16,17,
nitroku 16.16.16,nitroku161616,100.00%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,13,
Urea petro.,ureapetro,100.00%,Urea Petro,ureapetro,PIHC,Urea,NA,9,
Nitroku161616,nitroku161616,100.00%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,13,
mutiara161616,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
ZApetro,zapetro,100.00%,ZA Petro,zapetro,PIHC,ZA,NA,7,
SP26 PETRO,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
phosgreen,phosgreen,100.00%,Phosgreen,phosgreen,PIHC,Fosfat,NA,9,
ZA PLUS PETRO,zapluspetro,100.00%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,11,
npk pelangi136274,npkpelangi136274,100.00%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,16,
mutiara 16-16-16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
mesti za,mestiza,100.00%,Mesti-ZA,mestiza,LaoYing,ZA,NA,7,
npk pelangi 13-6-27-4,npkpelangi136274,100.00%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,16,
MUTIARA 16.16.16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
npk pusri 16 16 16,npkpusri161616,100.00%,NPK Pusri 16-16-16,npkpusri161616,PIHC,Majemuk,16-16-16,14,
SP - 26 PETRO,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
NPK PUSRI 15.15.15,npkpusri151515,100.00%,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15,14,
Urecote,urecote,100.00%,Urecote,urecote,Pak Tani,Urea,NA,7,
KSP,ksp,100.00%,KSP,ksp,Tawon,Fosfat,NA,3,
SP 26 Petro,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
Petrocas,petrocas,100.00%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Nitroku 161616,nitroku161616,100.00%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,13,
nitroku 16 16 16,nitroku161616,100.00%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,13,
ZK Petro,zkpetro,100.00%,ZK Petro,zkpetro,PIHC,ZK,NA,7,
Petro Nitrat 16-16+16,petronitrat161616,100.00%,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16,17,
MerokeZA,merokeza,100.00%,MerokeZA,merokeza,Mutiara,ZA,NA,8,
Pelangi 161616,pelangi161616,100.00%,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16,13,
npk kujang 3068,npkkujang3068,100.00%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
Mutiara. 16 16 16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
mutiara.16.16.16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
Mutiara16-16-16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
fertiphos,fertiphos,100.00%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,9,
phosgro,phosgro,100.00%,Phosgro,phosgro,Pak Tani,Fosfat,NA,7,
UreaPusri,ureapusri,100.00%,Urea Pusri,ureapusri,PIHC,Urea,NA,9,
NPK PUSRI 15-15-15,npkpusri151515,100.00%,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15,14,
Kapur pertanian kebomas,kapurpertaniankebomas,100.00%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,21,
Mutiara 16 16 16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
Mesti-ZA,mestiza,100.00%,Mesti-ZA,mestiza,LaoYing,ZA,NA,7,
yara mila unik 161616,yaramilaunik161616,100.00%,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16,18,
mutiara 16 -16-16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
sp 36 petro,sp36petro,100.00%,SP-36 Petro,sp36petro,PIHC,Fosfat,NA,9,
Borat,borat,100.00%,Borat,borat,Mahkota,Mikro,NA,5,
urea Pusri,ureapusri,100.00%,Urea Pusri,ureapusri,PIHC,Urea,NA,9,
Sp26petro,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
NPK Pelangi 13.6.27.4,npkpelangi136274,100.00%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,16,
Petro Biofertil,petrobiofertil,100.00%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,14,
Mesti Za,mestiza,100.00%,Mesti-ZA,mestiza,LaoYing,ZA,NA,7,
pelangi 16 16 16,pelangi161616,100.00%,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16,13,
Za Plus PETRO,zapluspetro,100.00%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,11,
