B_product_id,B_string_raw,B_string,string_similarity,Best_A_strings_raw,Best_A_strings,Best_A_Brand,Best_A_Type,Best_A_Formula
109,Petro-CAS,petrocas,1,Petro-CAS,petrocas,PIHC,Mikro,NA
415,mestac,mestac,1,Mestac,mestac,LaoYing,Nitrogen,NA
504,Fertiphos,fertiphos,1,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
531,petro cas,petrocas,1,Petro-CAS,petrocas,PIHC,Mikro,NA
637,urea petro,ureapetro,1,Urea Petro,ureapetro,PIHC,Urea,NA
734,ZA Petro,zapetro,1,ZA Petro,zapetro,PIHC,ZA,NA
735,SP-36 Petro,sp36petro,1,SP-36 Petro,sp36petro,PIHC,Fosfat,NA
740,Mestikali,mestikali,1,Mestikali,mestikali,LaoYing,Kalium,NA
2758,Z. K. PETRO,zkpetro,1,ZK Petro,zkpetro,PIHC,ZK,NA
2884,sp36 petro,sp36petro,1,SP-36 Petro,sp36petro,PIHC,Fosfat,NA
2891,pelangi1212172,pelangi1212172,1,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17
3382,Meroke MOP,merokemop,1,MerokeMOP,merokemop,Mutiara,Kalium,NA
4361,Mutiara 16 16 16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
4581,npk kujang 30 6 8,npkkujang3068,1,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
4832,nitralite,nitralite,1,Nitralite,nitralite,PIHC,Nitrogen,NA
4906,Urea Pusri,ureapusri,1,Urea Pusri,ureapusri,PIHC,Urea,NA
4953,ZK PETRO,zkpetro,1,ZK Petro,zkpetro,PIHC,ZK,NA
4954,SP-26 PETRO,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
5132,npk kujang 30-6-8,npkkujang3068,1,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
5138,ZA PAK TANI,zapaktani,1,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA
5439,Urea Petro,ureapetro,1,Urea Petro,ureapetro,PIHC,Urea,NA
5456,ZA PETRO,zapetro,1,ZA Petro,zapetro,PIHC,ZA,NA
5479,PetroCas,petrocas,1,Petro-CAS,petrocas,PIHC,Mikro,NA
5482,Petrobiofertil,petrobiofertil,1,Petro BioFertil,petrobiofertil,PIHC,Organik,NA
5506,Urea nitrea,ureanitrea,1,Urea Nitrea,ureanitrea,PIHC,Urea,NA
5563,NPK pelangi 13 6 27 4,npkpelangi136274,1,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
5652,UreaPetro,ureapetro,1,Urea Petro,ureapetro,PIHC,Urea,NA
5665,Nitralite,nitralite,1,Nitralite,nitralite,PIHC,Nitrogen,NA
6152,Urea Daun Buah,ureadaunbuah,1,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA
6153,Z K  Petro,zkpetro,1,ZK Petro,zkpetro,PIHC,ZK,NA
6177,urea pim,ureapim,1,Urea PIM,ureapim,PIHC,Urea,NA
6385,Urea Daun Buah,ureadaunbuah,1,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA
6623,PHOSGRO,phosgro,1,Phosgro,phosgro,Pak Tani,Fosfat,NA
6625,NPK PELANGI 13-6-27-4,npkpelangi136274,1,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
6802,Petro Nitrat 16 16 16,petronitrat161616,1,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16
6895,mutiara 161616,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
7112,ureadaun buah,ureadaunbuah,1,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA
7166,urea pim,ureapim,1,Urea PIM,ureapim,PIHC,Urea,NA
7494,MUTIARA 16-16-16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
7533,nitroku 16-16-16,nitroku161616,1,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16
7752,Nitroku 161616,nitroku161616,1,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16
8073,SP 26 Petro,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
8133,Petro Nitrat 16-16-16,petronitrat161616,1,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16
8422,nitroku 16.16.16,nitroku161616,1,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16
8687,Urea petro.,ureapetro,1,Urea Petro,ureapetro,PIHC,Urea,NA
9971,Nitroku161616,nitroku161616,1,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16
10331,mutiara161616,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
10358,ZApetro,zapetro,1,ZA Petro,zapetro,PIHC,ZA,NA
10442,SP26 PETRO,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
10789,phosgreen,phosgreen,1,Phosgreen,phosgreen,PIHC,Fosfat,NA
10790,ZA PLUS PETRO,zapluspetro,1,ZA Plus Petro,zapluspetro,PIHC,ZA,NA
11430,npk pelangi136274,npkpelangi136274,1,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
11502,mutiara 16-16-16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
11773,mesti za,mestiza,1,Mesti-ZA,mestiza,LaoYing,ZA,NA
12429,npk pelangi 13-6-27-4,npkpelangi136274,1,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
13767,MUTIARA 16.16.16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
14349,npk pusri 16 16 16,npkpusri161616,1,NPK Pusri 16-16-16,npkpusri161616,PIHC,Majemuk,16-16-16
14509,SP - 26 PETRO,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
14715,NPK PUSRI 15.15.15,npkpusri151515,1,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15
15241,Urecote,urecote,1,Urecote,urecote,Pak Tani,Urea,NA
15654,KSP,ksp,1,KSP,ksp,Tawon,Fosfat,NA
15958,SP 26 Petro,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
16600,Petrocas,petrocas,1,Petro-CAS,petrocas,PIHC,Mikro,NA
16683,Nitroku 161616,nitroku161616,1,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16
