product_id	product_name	product_clean_name	result_sku	result_brand	result_type	result_formula	method_label	fuzzy_ratio	is_match_naive_regex	lev_dist_int	lev_dist_ratio
0	Pupuk Urea N 46%	pupuk urea n 46  	Urea Daun Buah	pihc	urea		fuzzy	44.0	False	11	
1	Pupuk Amonium Sulfat ZA	pupuk amonium sulfat za	Ammonium Sulfate	yara	za		levenshtein	72.0	False	10	0.6
2	Pupuk Super Fosfat SP-36	pupuk super fosfat sp  36	Triple Super Phospate (TSP)	mahkota	fosfat		fuzzy	52.0	False	14	
3	Pupuk NPK Phonska	pupuk npk phonska	Others				Others	35.0	False	13	
4	Pupuk NPK Formula Khusus	pupuk npk formula khusus	Others				Others	35.0	False	17	
5	Pupuk Organik Granul	pupuk organik granul	Petro BioFertil	pihc	organik		fuzzy	42.0	False	13	
6	Pupuk Organik Cair	pupuk organik cair	Petro BioFertil	pihc	organik		fuzzy	43.0	False	13	
7	Produk Lain	produk lain	Mesti-Rock	laoying	fosfat		fuzzy	43.0	False	8	
8	Rondap	rondap	Others				Others	38.0	False	4	
9	Sekor	sekor	Others				Others	30.0	False	4	
10	abacel 250ml	abacel 250 ml	Brucite	basf	mg		fuzzy	43.0	False	10	
11	nitrea	nitrea	Urea Nitrea	pihc	urea		fuzzy	44.0	False	3	
12	spontan	spontan	KSP	tawon	fosfat		fuzzy	43.0	False	5	
13	Starban	starban	Others				Others	40.0	True	5	
14	gramoxon	gramoxon	Others				Others	37.0	False	6	
15	puradan	puradan	Others				Others	39.0	False	5	
16	pastak	pastak	Others				Others	36.0	False	3	
17	combitox	combitox	Others				Others	32.0	False	6	
18	fujiwan	fujiwan	Others				Others	27.0	False	6	
19	buldok	buldok	Others				Others	24.0	False	5	
20	starban 100ml	starban 100 ml	Others				Others	40.0	True	10	
21	postin/100ml	postin  100 ml	Solution N 28-10-10 + TE	pihc	majemuk	 28-10-10	fuzzy	44.0	False	9	
22	fastak	fastak	Others				Others	33.0	False	3	
23	trebon	trebon	Others				Others	38.0	False	4	
24	Ronsha	ronsha	Others				Others	38.0	False	5	
25	sidamethrin	sidamethrin	Others				Others	37.0	False	8	
26	DHARMASAN	dharmasan	Others				Others	37.0	False	6	
27	FASTAC	fastac	Others				Others	33.0	False	2	0.6666666667
28	ROUNDUP	roundup	Others				Others	36.0	False	6	
29	SIDACRON	sidacron	Others				Others	39.0	False	6	
30	RONSHA 400ML	ronsha 400 ml	Others				Others	39.0	False	10	
31	REGENT	regent	Others				Others	37.0	False	5	
32	score	score	Others				Others	36.0	False	4	
33	sidatan	sidatan	HSP Astiva	tawon	fosfat		fuzzy	40.0	False	5	
34	manuver	manuver	Others				Others	36.0	False	4	
35	slop. obr	slop  obr	KSP	tawon	fosfat		fuzzy	40.0	False	7	
36	sidabas	sidabas	Others				Others	36.0	False	5	
37	rengt	rengt	Others				Others	31.0	False	4	
38	fostin	fostin	Others				Others	36.0	False	4	
39	sidacin	sidacin	Others				Others	37.0	False	6	
40	klocyper	klocyper	Others				Others	33.0	False	6	
41	Topsida	topsida	ZA Petro	pihc	za		fuzzy	43.0	False	6	
42	Tebalo	tebalo	Others				Others	38.0	False	5	
43	fenval	fenval	Others				Others	32.0	False	4	
44	Aplaud	aplaud	Others				Others	30.0	False	5	
45	fatal/keong	fatal  keong	Mahkota ZA	mahkota	za		fuzzy	42.0	False	9	
46	Dipho	dipho	Others				Others	29.0	False	4	
47	Dangke	dangke	Others				Others	29.0	False	6	
48	anteb	anteb	Others				Others	31.0	False	4	
49	Denox	denox	Others				Others	26.0	False	5	
50	ziput/keong bubuk	ziput  keong bubuk	Nitroplus (ZA)	tawon	za		fuzzy	41.0	False	13	
51	sampurna B	sampurna b	Urea PIM	pihc	urea		fuzzy	43.0	False	8	
52	permipos	permipos	Fertiphos	pak tani	fosfat		levenshtein	41.0	False	3	0.6666666667
